name,genre,summary,director,release_year,image_url
Nneka the Pretty Serpent,"Horror, Mystery","When her parents are murdered, Nneka encounters the Queen of the Coast who offers to help her in revealing the identities of people who killed her parents. This changes the course of her life as she sets out on a mission of revenge.",Tosin Igho,2020,"https://m.media-amazon.com/images/M/MV5BN2JmY2E2ZmUtYWQ5MS00ZWMyLTkzM2MtZjUwMjRhMDkzODNlXkEyXkFqcGdeQXVyMzQ3Nzc1MTA@._V1_UX67_CR0,0,67,98_AL_.jpg"
Sugar Rush,"Action, Comedy","The Sugar Sisters discover a whopping $800,000, the financial crimes commission and the supposed owners of the money come for them. Now they team up with unlikely allies and it's a race against the clock to set things right.",Kayode Kasum, 2019,"https://m.media-amazon.com/images/M/MV5BMThiNTRkYTUtZWE2YS00YzI2LTljZWItY2U0ZDgxODU5ZmViXkEyXkFqcGdeQXVyMTAxNDc4OTgy._V1_UY98_CR5,0,67,98_AL_.jpg"
Coming from Insanity,"Crime, Drama, Thriller","In the mid-nineties, a 12 year-old boy (KOSSI) with genius-level intelligence, is one of many children trafficked through the Nigerian borders from Togo. He ends up with the MARTINS, an ...                See full summary »",Akinyemi Sebastian Akinropo,2019,"https://m.media-amazon.com/images/M/MV5BNGQ3ODg3NGQtOTA3NC00YzMwLWE0Y2MtMmY5NjVmNjBmM2RkXkEyXkFqcGdeQXVyODE1MjE1OTE@._V1_UX67_CR0,0,67,98_AL_.jpg"
Bad Comments,Comedy,An established actor decides to get back at the ones responsible for initiating a smear campaign against him in the digital space.,Moses Inwang,2020,"https://m.media-amazon.com/images/M/MV5BNTczOThlNDItNDkwNC00NmJhLWJiMTgtOTQxNGUwNDhkZDQ0XkEyXkFqcGdeQXVyMzM0OTc4NQ@@._V1_UY98_CR3,0,67,98_AL_.jpg"
Foreigner's God,"Drama, Fantasy, Mystery","In colonial Nigeria, an English documentary photographer in search of a story falls in love with an accused witch living under subhuman conditions.",Ifan Ifeanyi Michael,2022,"https://m.media-amazon.com/images/M/MV5BNTViNDgxZDEtYmUwMC00MGZmLTlkMDctZWNhYWY0NjA5MDNjXkEyXkFqcGdeQXVyMTIwMzY0NjYx._V1_UY98_CR5,0,67,98_AL_.jpg"
Ayinla,Drama,"Ayinla is a musical eponymous film based on the life of Ayinla Yusuf popularly known as Ayinla Omowura, an Apala musician who was stabbed to death by his manager named Bayewu in a bar fight on May 6, 1980 at Abeokuta.",Tunde Kelani,2021,"https://m.media-amazon.com/images/M/MV5BNjk5Y2UwOTUtMjBjNC00MzdiLTk4OTktYTkzMzY1ODQzYjE1XkEyXkFqcGdeQXVyMTA5MzUzNTgy._V1_UX67_CR0,0,67,98_AL_.jpg"
Merry Men 2,"Action, Comedy","Things have changed for the charming foursome, the Merry Men. They've hung the boots on robbing the rich to give to the poor and focus squarely on running their businesses. AYO ALESINLOYE, ...                See full synopsis »",Moses Inwang,2019,"https://m.media-amazon.com/images/M/MV5BYWIzY2UwMWEtZmMyNy00NWQwLWJmNjgtOWI3M2Q4MzIwOTNhXkEyXkFqcGdeQXVyMTAxNDc4OTgy._V1_UX67_CR0,0,67,98_AL_.jpg"
Bantale,Drama,An act of goodwill becomes a poisoned chalice overnight.,Simon Peacemaker,2022,"https://m.media-amazon.com/images/M/MV5BMjFjNzQ0ZDItNWUxMS00MzUxLTlmMTYtZWU3OTUxYzY2ZGZhXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Collision Course,"Action, Drama",This powerful movie tells the story of the two worlds of a law enforcement officer and an aspiring musician whose worlds collide. It is a depiction of the realities of the average policeman and a young music artiste.,Bolanle Austen-Peters,2021,"https://m.media-amazon.com/images/M/MV5BN2I1YWExZTQtYTMxOC00ZGIwLThlZjQtMmZiM2M5YzY4M2M0XkEyXkFqcGdeQXVyMTM0Mjc1NzIy._V1_UY98_CR5,0,67,98_AL_.jpg"
Namaste Wahala,"Drama, Romance",A Nigerian woman and an Indian man won't let cultural differences get in the way of their romance.,Hamisha Daryani Ahuja,2021,"https://m.media-amazon.com/images/M/MV5BOTdhNGM5NmQtNzQ4YS00MmM0LWEzZTAtNDIwMTBhZGYyZjU2XkEyXkFqcGdeQXVyMzM0OTc4NQ@@._V1_UY98_CR4,0,67,98_AL_.jpg"
