name,genre,summary,director,release_year,image_url
Secrets of the Gods,Drama,Prince Adelaja's tyrannical rule sets him against his people and against the gods. Will there be a reprieve for the people and repercussions for his actions?,Awal Abdulfatai Rahmat,2022,"https://m.media-amazon.com/images/M/MV5BMGI0NjdlNTctNDIxYS00MWUyLWFjYzYtYjJhYzM0YzBhNmFhXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Unshaken,Drama,,Uche Alexmoore,2021,"https://m.media-amazon.com/images/M/MV5BZWM3YTQ5NGEtYzFiZC00NDU1LTliNmUtZWMyYjUxNjA0MzkyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Soólè,"Comedy, Thriller",A group of travellers on a bus journey home for Christmas find themselves entangled in a cat-and-mouse game with dangerous criminals.,Kayode Kasum,2021,"https://m.media-amazon.com/images/M/MV5BZDExM2VjZWEtNmFkNS00ZjA2LWJiMjEtZDZkODQzNmE5MDRmXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR7,0,67,98_AL_.jpg"
The Call Girl,Drama,Two perfect strangers get entangled in an unusual relationship that opens a lot of Pandora's boxes.,Theo Ukpaa,2021,"https://m.media-amazon.com/images/M/MV5BYjQ1YjQ3OTQtOTczMS00YWU4LThjNWEtYjI5MzA4ZTJjM2RlXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
Four Wives and a Mistress,Comedy,Hell breaks loose when a serial bigamist's secret marriages come to light and he tries to make amends.,Desmond Elliot,2019,"https://m.media-amazon.com/images/M/MV5BZDUwYTEwYjktOWU3Ny00OTEyLTg4NjMtYTk5NzQ5NDFhODg2XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Atarodo,Drama,"Coming from a place of anger management issues, Ugo retraces his steps and seeks a fresh start in his relationship with Dupe who also has plenty of dirty little secrets in her past.",Dabby Chimere,2021,"https://m.media-amazon.com/images/M/MV5BZDhhMzA4NTMtMzg3ZS00MGYzLTlhNzktMTJiZWFlZmY2ZTVmXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
The Herbert Macaulay Affair,Drama,,Imoh Umoren,2019,"https://m.media-amazon.com/images/M/MV5BY2RkZmRjMDQtNzk5ZC00MTBlLTlhZTgtNDM4MzQxNGI1MjcxXkEyXkFqcGdeQXVyMTAzMTA5ODgx._V1_UX67_CR0,0,67,98_AL_.jpg"
Love Castle,Drama,"Living in Houston Texas, USA, with her family, ADETUTU was met with the news of her father's death on a visit to Nigeria and now she must be crowned a Regent as a daughter of the late King.",Desmond Elliot,2021,"https://m.media-amazon.com/images/M/MV5BMDc1N2JjMDItOTU3Ny00MzBiLWFhNTgtZDVjYTE3NmZkYzMxXkEyXkFqcGdeQXVyMTEyNjg2NjE2._V1_UY98_CR5,0,67,98_AL_.jpg"
Rebellion,Drama,The daughter of a village chief fights against the abuse of women by people who masquerade behind misinterpretations of old traditions.,Ernest Obi, 2021,"https://m.media-amazon.com/images/M/MV5BMzYzYjgwMzAtZjVmNi00NDY0LWEwZWItMzNiYzA4ZWJjMmZlXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Boss Down,"Comedy, Drama",A mean boss loses her job and is forced to seek shelter at the home of her assistant.,Desmond Elliot,2022,"https://m.media-amazon.com/images/M/MV5BOTBhYzRiNWUtNzZmMi00NjZiLTgzOWQtMTQzMmMwMzM1OTBhXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Pandora's Box,"Drama, Romance","A couple are forced apart when a tragic incident occurs, testing their faith and love for each other.",Simon Peacemaker,2021,"https://m.media-amazon.com/images/M/MV5BNmNiMzVlOWQtZDI2MS00MDhlLWJkODMtNzJkMzM1ZTExMjNjXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
Our Jesus Story,Drama,"The Biblical story of Jesus, retold in a Nigerian setting with a Nigerian cast.",Tchidi Chikere,2020,"https://m.media-amazon.com/images/M/MV5BM2I2OGE3NjYtZmMwNy00NzZmLWJmZjktZmI1ZGYxMTc4OGE3XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR3,0,67,98_AL_.jpg"
The Fourth Party,Drama,"The movie tells the story of Sophie Williams (Mary Lazarus) the daughter of a billionaire chief, who is on the verge of being duped and killed in exchange for all her inheritance. When it come to the love of money...trust no one.",Best Okoduwa,2021,"https://m.media-amazon.com/images/M/MV5BN2I5NTBmN2EtYmM0ZC00YWE3LWFlYzctYTA1NmJiNDI1NmRiXkEyXkFqcGdeQXVyMTA0MDA4NzM@._V1_UY98_CR3,0,67,98_AL_.jpg"
Besieged,Drama,"What was supposed to be an exciting first date with a rich, handsome guy turns into a nightmare for a TV personality.",Ike Nnaebue,2021,"https://m.media-amazon.com/images/M/MV5BZTM4YWYxYTMtYTkyNy00YTQ5LWEwMTUtM2U5OGQ3ZDQ3ZGU4XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
Twice Shy,Romance,"Even in death, a chance to love presents itself most hopelessly.",Desmond Elliot,2022,"https://m.media-amazon.com/images/M/MV5BOTczM2Q2NTktMDVkNy00YWQyLWEyODgtMGFhMWFiYWM4MGMyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
A Love to Remember,"Drama, Romance","In order to get back at her ex, a young lady agrees to go on a date with an emotionally unavailable man. They begin to form an attachment, but their love is threatened by a life-altering illness.",Michael Jaja,2021,"https://m.media-amazon.com/images/M/MV5BN2E0ZTc4MTYtNTQwYS00MzJjLThlMWMtNzg1ZmE0NjA3ZTU4XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR7,0,67,98_AL_.jpg"
Beautifool,Comedy,,Richards Omos-Iboyi,2021,"https://m.media-amazon.com/images/M/MV5BZmM2Mzk3MTctMjFmNy00MTI1LWI5ZjktMGE4NGI3MDBiYzViXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR6,0,67,98_AL_.jpg"
The Crazy Stupid Lover,Romance,,Sunshine Olawore,2020,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
The Hookup,Drama,,Uyoyou Adia, 2022,"https://m.media-amazon.com/images/M/MV5BOTI5ZjMwM2ItOWZlOC00OGRiLTgyNGUtMzFhMjYwN2FlOTdhXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Breaking Point,Drama,,Oniyide Ifedayo, 2021,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Dear Bayo,Romance,Dear Bayo is a love story between a youth corper Bayo and a girl he meets Ebipade. Both from humble backgrounds are smitten by each other but have to overcome difficulties in their personal lives to be together.,Imoh Umoren,2020,"https://m.media-amazon.com/images/M/MV5BZDIwNWY3NjgtZWUxNS00OWIxLTllYTMtNjQzMDBlNDg4MTU0XkEyXkFqcGdeQXVyMTEwOTgxNDg1._V1_UY98_CR1,0,67,98_AL_.jpg"
The forest is dreadful,Horror,"An excursion turns bloody when the students cannot longer find their way out of the forest, not even with the elephant tusks they've come for. They die mysteriously.",Val Sunny Olisemeka,2022,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Love Thy Neighbour,Drama,Fareed and Gbemi are determined to be better people by loving their neighbors as themselves but how much love will be for Lola their new neighbor,Okechukwu Oku,2020,"https://m.media-amazon.com/images/M/MV5BZTYzMzQzMGEtOGM4OS00Y2NiLTgwMTAtYjQ4ZGY5YjlhYTAyXkEyXkFqcGdeQXVyMzQzOTAwMDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
Long Shadow,Drama,"A supposed get together turns into the unraveling of dark secrets, when an intruder comes to stalk, leaving everyone at the edge.",Sadiq Sule,2019,"https://m.media-amazon.com/images/M/MV5BZTIyMWE2NmMtZGNkMC00YTBkLWFjZTEtM2IwMjZhZTRiOGIxXkEyXkFqcGdeQXVyMTQ3MjMzOTk0._V1_UY98_CR5,0,67,98_AL_.jpg"
Sin,Drama,Ellie must pay for her father's sins as she gets abducted by Martins who is seeking vengeance for the murder of his fiancé. Events take a dramatic twist when feelings begin to develop.,Samuel Obiora, 2021,"https://m.media-amazon.com/images/M/MV5BZjUwZTJmY2EtMThhNS00Yzg5LWI1YTMtNTk3YWVhYWU0N2I4XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR1,0,67,98_AL_.jpg"
Deep State,Drama,,Aniedi Awah Noba,2022,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Unintentional,"Drama, Romance",,Olufemi Bamigbetan,2021,"https://m.media-amazon.com/images/M/MV5BMGMyZjM3ODItZTQyMi00ZWMwLWFiYjMtOGY0YTg2MTU3NDI4XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR1,0,67,98_AL_.jpg"
What is Mine,Drama,,Armani J. Armani,2020,"https://m.media-amazon.com/images/M/MV5BODkyNWJkOWMtMGY3Yy00ZmY4LTlhMTktZDViZmQ4ODI2NWJhXkEyXkFqcGdeQXVyMTUyNDg2MTI4._V1_UY98_CR53,0,67,98_AL_.jpg"
Rude Awakening,Drama,An overly inattentive woman realizes her place in her husband's heart could soon be stolen by another.,Teco Benson, 2020,"https://m.media-amazon.com/images/M/MV5BY2IzYTM1YTgtOGMwZC00OGJhLWJmMjYtNzIxNmNmYmJiYmEzXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UX67_CR0,0,67,98_AL_.jpg"
Tender Lies,Drama,"A woman conceals her pregnancy to secure a job as a maid, but soon finds herself bonding with both daughter and father.",Okey Ifeanyi,2019,"https://m.media-amazon.com/images/M/MV5BZDI1ZWU3ZmEtNTNjNC00NjVlLThiOGMtNmFhYjg1ODgxODMyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Blameless,Drama,A tragic event splits the Richards family in half and ignites a feud.,Stanley Obi,2019,"https://m.media-amazon.com/images/M/MV5BYzIwODAzOTItMGIwNC00NDEwLTgyZGYtOTJlNzZkZjhhNmYyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Detty Thirty,"Comedy, Romance","Just when Nene thought she was done with her wish list, life happened, but it could open her up to better things.",Ozioma B. Nwughala,2022,"https://m.media-amazon.com/images/M/MV5BODBhNGFkNTctYTVkMS00Yjk0LTkzOWItMTVkY2M0ODk4ZDdlXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
The Man Between Us,Drama,"Amber comes home with Nonso, who happens to be the mystery guy her mother Elina is fantasizing over. Events take a turn when Amber is reported dead and Elina and Nonso spark a new love story.",Udezeh Onyinye,2021,"https://m.media-amazon.com/images/M/MV5BNTlhNDc3MTMtYmI4NC00MWVjLWEyMDktNWUzNDMxNjA3YzhlXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Made in Heaven,"Drama, Fantasy",,Toka McBaror, 2019,"https://m.media-amazon.com/images/M/MV5BMzAwMGM0ZTEtMzA0Zi00YTU3LWFlYjYtOWM0ZTVmMjA4MmIyXkEyXkFqcGdeQXVyMDM1MzIyMQ@@._V1_UY98_CR1,0,67,98_AL_.jpg"
The Cleanser,Drama,"Following a series of political assassinations, an investigator starts to believe that her own brother is responsible for the killings.",James Abinibi,2021,"https://m.media-amazon.com/images/M/MV5BMjJkYWM2ODMtMDE5Yy00ODZiLTlmNjktYTQ4YTRmM2JhN2FmXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR6,0,67,98_AL_.jpg"
The Other Woman,Drama,"A married man engages in a steamy affair with his personal assistant, but fails to predict the effect it will have on his relationship with his family.",Blessing Oke Akambe, 2021,"https://m.media-amazon.com/images/M/MV5BMTY2YjQ3NWMtOThiYi00MjVmLWI5MzQtZmM5N2VlNzBhYjVlXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR7,0,67,98_AL_.jpg"
Void,Drama,"A widower hunts for a woman that will grant him an unusual wish, to love him enough to be a surrogate for him and his late wife, who had her eggs frozen before her battle with cancer.",Chris Eneaji Eneng, 2019,"https://m.media-amazon.com/images/M/MV5BNjk3NzVmYWUtMTdhOC00NGQzLTkxZDctMzBmNzk2OGMxOTM0XkEyXkFqcGdeQXVyMDM1MzIyMQ@@._V1_UY98_CR3,0,67,98_AL_.jpg"
2 Minutes Wrong,Drama,,Johnpaul Nwanganga,2021,"https://m.media-amazon.com/images/M/MV5BOWRhYTQyOTctNjMxNy00ODkzLTg0ZmUtYzUwYzg2NjYzMGYyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
The Wig,"Drama, Fantasy, Romance",A lawyer struggling with fear and lack of composure suddenly becomes fearless and flawless after purchasing an item from a beauty shop.,Patrick Odjegba,2021,"https://m.media-amazon.com/images/M/MV5BZGRkYjE1YjktYTA5OS00MmUzLWIyNDUtMTUyNzE4MzI3ODIxXkEyXkFqcGdeQXVyMTMyMzE1Njg4._V1_UY98_CR15,0,67,98_AL_.jpg"
Another Holiday: The Movie,Drama,,Teejay RossOscar,2021,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
What Happened at St James,Drama,"Three young men are forced to face a twenty-year-old secret that threatens their present lives and businesses, a secret that lies in their shared past at St James Secondary School.",Marc Adebesin,2021,"https://m.media-amazon.com/images/M/MV5BOWY0MjY1YTktYTc1NC00NjdjLTgxZmUtZmI1NTQ3MTAwYWE5XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
I am Nazzy,"Comedy, Romance",A fast-rising music artist's picture-perfect life suddenly goes haywire when she accidentally switches places with a doppelganger.,Kayode Peters,2022,"https://m.media-amazon.com/images/M/MV5BYWZhODFkNzYtZTY1MS00ODg2LWJjMjAtMTdmYTNjMmFiMmE3XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
Warmth in Despair,Drama,"In trying times, Raphael comes across a girl who could turn out to be the magic wand he needs to make him a better man.",Okey Ifeanyi,2022,"https://m.media-amazon.com/images/M/MV5BYTY5Yzk5MzgtNGFiMS00NjQ1LWFmZTctYzBhNmVkMmZlY2EzXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR14,0,67,98_AL_.jpg"
Jalil,"Drama, Thriller",,Leslie Dapwatda,2020,"https://m.media-amazon.com/images/M/MV5BMzI3Njc1NWItMzA1NC00N2ZkLTllOGUtNTM3NDhiZGE4ZjJhXkEyXkFqcGdeQXVyNzU3NTg1Nzg@._V1_UY98_CR53,0,67,98_AL_.jpg"
For My Eyes Only,Drama,,Aniedi Awah Noba,2021,"https://m.media-amazon.com/images/M/MV5BNDM4YTNkM2QtODJiMy00MDZiLTgxZWUtZjg4NjE2ZGJhZWVlXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
For Old Times' Sake,Drama,"Andrew, a dance teacher is struggling to keep his dance studio afloat. Along comes Catherine, who enrolls for some of his classes but brings along a lot of baggage.",Moses Inwang,2019,"https://m.media-amazon.com/images/M/MV5BNTg2OWQ0MWEtYTI1Yi00MjQwLTljNDEtOGM3MjRhMzQzNjlkXkEyXkFqcGdeQXVyNTcxMTA0NTQ@._V1_UY98_CR6,0,67,98_AL_.jpg"
Team Six,"Action, Crime",An easy heist by a team of disgruntled ex-policemen quickly turns into a siege with life and death stakes.,Tosin Igho,2021,"https://m.media-amazon.com/images/M/MV5BMGNlYzIzOGMtZGM5Zi00ZDdhLWE0NzEtNzRjZjQ1OTk0YzM1XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
Beauty in the Broken,Drama,A woman who sees her beauty as her marriage insurance finds herself in a situation that will change her perspective about love and marriage.,Tissy Nnachi,2019,"https://m.media-amazon.com/images/M/MV5BMGI1NGEyYmYtNWZjNS00NzhjLWE0YTAtODQyM2FkMzkzNjM4XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Venom,Drama,,Amara Angel Amuzuo, 2019,"https://m.media-amazon.com/images/M/MV5BMDhlYjRkMjMtYmExMy00MDg3LTg3YTktZTVlYzZmYTVhYTJlXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR2,0,67,98_AL_.jpg"
Craving,Drama,"To satisfy their sexual desires, two couples who happen to be neighbors engage in secret escapades, until their intimate business is suddenly revealed.",Emmanuel Mang Eme, 2021,"https://m.media-amazon.com/images/M/MV5BNGM3NzUzOTQtM2MzOS00MjE2LWI1Y2ItYjgxN2UzZDAwMGE1XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
Beauty and the Beast,Romance,"An ugly and ruthless money lender goes out to recoup his investment, but returns home with an unwilling maiden as payment.",Biodun Stephen,2021,"https://m.media-amazon.com/images/M/MV5BOWE4ZTUzZDMtNmM4Yi00ZmM0LThkNzYtNDcxOTlkOTA2ODk1XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Miss-Understood,Drama,"Two friends are torn apart by an incident in the past, but when fate brings them to live together in the same apartment, it opens them to the truth.",Francisca Eleyele,2021,"https://m.media-amazon.com/images/M/MV5BNzRjMzJjNjctNTljOS00YWM1LThlZjMtYTQ2MGUwMTNjYjg2XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR16,0,67,98_AL_.jpg"
The Anointed Bride,Drama,,Ugezu J. Ugezu,2022,"https://m.media-amazon.com/images/M/MV5BNmZkNmY3MjYtY2QxYy00NjI4LWJiMjktZTlmODA0MTQ1ZGE4XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UX67_CR0,0,67,98_AL_.jpg"
Tango of Deception,Drama,A woman leaves a toxic relationship and finds solace in a young man who is also in a deceptive relationship. They soon fall in love but there are obstacles they must conquer first.,Simon Peacemaker,2021,"https://m.media-amazon.com/images/M/MV5BYzAwYmQ4MTAtY2EzNS00ZGYzLWE2OGYtZjY1Yjg2YTcwN2FlXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Inhibition,Drama,"Churchill (played by Chris Okagbue), is a socially ignorant nerd who meets and falls in love with Eka, a Pastor's daughter. The lovers are headed for the altar when they're manipulated by a...                See full summary »",Otu Njama,2019,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
The Supervisor,Drama,A young lady must prove her worth after being employed by a chronic womanizer.,Uyoyou Adia,2021,"https://m.media-amazon.com/images/M/MV5BNTZlNDJiNmQtMjAzNS00NzJlLWJhNDgtODczYTZlMTZhNjcwXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Untold,Drama,Akanji comes up with an extreme plan to get rid of his wife. How successful he'll be remains to be seen.,Emmanuel Akaemeh,2022,"https://m.media-amazon.com/images/M/MV5BZGQ4NTM1NTMtOWY0Mi00YmE2LWExNTQtNGNmYmU4YmRlYTZjXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Beautiful People,Drama,,Uduak Isong Oguamanam,2022,"https://m.media-amazon.com/images/M/MV5BNjA2YmE4YWQtNGNjYS00NmU1LTg4ZjktMTY1NjBkZGUwZjYwXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Blast from the Past,Drama,The odds are stacked against Jackie. Her perfect soulmate belongs to another.,Onyebuchi Stephen,2021,"https://m.media-amazon.com/images/M/MV5BZDU1OTI1NTctOTA5My00YTMzLWI3MGUtYTc4NzYzY2Q2NGM5XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Red Flame,Drama,"Sick and tired of playing second fiddle to her sister, Ije convinces herself that the only solution is to kill her.",Emeka Madu,2020,"https://m.media-amazon.com/images/M/MV5BMjk5YzgzZDMtYjAxMy00N2FmLWFkMDgtYWNkODgwZmM4NTJiXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Stereo Hearts,Romance,A commitment-shy woman falls in love with a voice over the radio.,Ozioma B. Nwughala,2021,"https://m.media-amazon.com/images/M/MV5BYmRmMjk1ZjUtYzllNS00ZGViLTk4Y2ItMTNmOTYzYzBmNWRiXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Trouble in High Heels,Drama,A married man gets involved in an extramarital affair with his lawyer. Things turn out bloody and the unexpected happens.,Chris Eneaji Eneng,2020,"https://m.media-amazon.com/images/M/MV5BNWVlNjE5ZDgtZjM1Mi00OThkLTk1ZDYtNGQ5ZDBjNmNmZWNiXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Sade,"Animation, Adventure, Family","The story of a little girl, Sade and her family who adopt TEJ, a wandering dog and victim of a hit-and-run driver. Soon, the society discovers that TEJ is not an ordinary dog; hence the ...                See full summary »",Miller Luwoye,2019,"https://m.media-amazon.com/images/M/MV5BNzRhNzJlZGQtYmNiMy00YmNhLWJlOWYtYTViZjgzNjIzNGYzXkEyXkFqcGdeQXVyODQ1NTE3MDA@._V1_UY98_CR1,0,67,98_AL_.jpg"
Red Flag,Drama,"Teni begins noticing some strange behaviour from her partner, Bobby, but it seems too late to do anything about it.",Stanley Obi, 2021,"https://m.media-amazon.com/images/M/MV5BZjYyY2E1ODAtMWEwMS00MTBmLWI0ZDEtM2I2OGI5OWJkODc5XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
The Advocate,Thriller,,Kehinde s Ogunsanya,2021,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Killing Eva,Mystery,"The mystery behind the killing of Eva at her engagement dinner is an arduous task to uncover. As events unfold, dirty secrets are revealed.",Kayode Peters,2022,"https://m.media-amazon.com/images/M/MV5BMzFhZGJhNzktYzI1ZC00MmQ0LThmNjUtZGZjOWNhYmI5MGNlXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Crossroads Siwoku,Drama,,Seyi Siwoku,2020,"https://m.media-amazon.com/images/M/MV5BZjBmZmNiNjctN2E4MC00ODY3LTkzMTEtNzQ4NGZmMzVhNTU5XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR53,0,67,98_AL_.jpg"
Sweet Melony,Drama,A husband finds euphoria in the arms of an exotic dancer who is not his wife.,Desmond Elliot,2020,"https://m.media-amazon.com/images/M/MV5BNmMxMjc3YzAtZTAyYy00NTJhLWJkODEtYzViMTYzMDM2NTY5XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UX67_CR0,0,67,98_AL_.jpg"
Seducing Mr. Perfect,Drama,,Uche Alexmoore,2019,"https://m.media-amazon.com/images/M/MV5BM2ZkNWM1MjktYmZhOS00NDBhLTk5ZDctZjNlZGMxYjQ4NzUyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
False Intention,Drama,Kene realizes that the promises and plans his wealthy cousins have for him are concealed in false hope.,Kingsley Fresh Onyenma,2020,"https://m.media-amazon.com/images/M/MV5BMzY0NTE0MjItOGFiYi00ZGQyLThmNTQtNjkzNjYwZThiNWE5XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Stand by Me,Drama,"Henry is jilted after he becomes physically challenged, but Ifeoma decides to take care of him.",Uduak-Obong Patrick, 2022,"https://m.media-amazon.com/images/M/MV5BMzY2OTJjNjktNGE5Mi00NzYwLTg0NDgtZmFhZmY5MzkwNGJlXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR17,0,67,98_AL_.jpg"
Taking Chances,Drama,Why are Angela and Harrison are holding back their expressions of love for each other?,Uche Agbo,2021,"https://m.media-amazon.com/images/M/MV5BOTNhZWRjZDgtMjczYy00OTQ0LWI4YWUtYzUxNmY5YTcxNTgwXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Loving Rona,Romance,"Following a breakup weeks to her wedding, the pretentious scheming Rona embarks on a journey to disrupt her ex fiancee's new relationship to ensure nothing stops her wedding. Starring Meg ...                See full summary »",Luke Oyovbaire,2021,"https://m.media-amazon.com/images/M/MV5BY2IwMDA0NWEtZGM5MS00ZWU2LTg4YWEtN2QwMDAzYWVkZTczXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
Lemonade,Drama,,Lummie Edevbie, 2020,"https://m.media-amazon.com/images/M/MV5BZWUwZDM4MmEtZDUwMS00NzY3LTkyZjctNThmNDA5NjkxOTVhXkEyXkFqcGdeQXVyMTMxNDg2ODUx._V1_UY98_CR12,0,67,98_AL_.jpg"
Misdeed,Drama,,Chidi Anyanwu Chidox,2021,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Celebrity Girlfriend,"Comedy, Romance",Life turns topsy-turvy for a brilliant fashion designer.,Ola Naresh,2021,"https://m.media-amazon.com/images/M/MV5BODNiYTQwMTYtY2Q3Ny00YTI2LTk2ZjgtMjY2MWUxODUwYzQzXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Mad Wife,Drama,,Uche Agbo,2022,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Fine Things,Drama,Cee Cee is bankrolled a high life by a wealthy benefactor only to lose it all at once. She must find her way through life from scratch.,Remi Ibinola,2021,"https://m.media-amazon.com/images/M/MV5BYTM1ZDFmZWMtZDI2Zi00ZjE1LTlmNjQtNmYyZDAyNmY5MjM5XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Accursed,Drama,"In a desperate quest for a child, Oluchi's mother makes a dangerous pact with the gods which will be due when she grows up.",Emeka Bishop Nwabunze,2021,"https://m.media-amazon.com/images/M/MV5BNzliNmRlNDAtZTAzOC00MzNhLWE5NTQtNWU4ZWFhNDZmOGE5XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
The Other Side,Drama,A man weighed down by his lack of material success in life is granted a prayer to see what his life would look like if things had turned out differently.,Jumoke Olatunde, 2021,"https://m.media-amazon.com/images/M/MV5BZjczYWQxYTctODMwOS00ZmVlLWEzNTAtZTU3MDUxOGQyZGJkXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
